Building Num.,Building Name,Address,GSF,Status,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,,
,Cresswell Hall,36 Magruder St.,,,,,,,,,,,,,,,,,,,,,,
,Critz Hall,685 Barr Ave,,,,,,,,,,,,,,,,,,,,,,
,Deavenport Hall,220 Bailey Howell Drive,,,,,,,,,,,,,,,,,,,,,,
,Dogwood Hall,705 George Perry Street,,,,,,,,,,,,,,,,,,,,,,
,Griffis Hall,500 Bailey Howell Dr.,,,,,,,,,,,,,,,,,,,,,,
,Hathorn Hall,76 Magruder St.,,,,,,,,,,,,,,,,,,,,,,
,Herbert Hall,170 Herbert St,,,,,,,,,,,,,,,,,,,,,,
,Hull Hall,85 Walker Rd,,,,,,,,,,,,,,,,,,,,,,
,Hurst Hall,95 Hurst Lane,,,,,,,,,,,,,,,,,,,,,,
,Magnolia Hall,15 Morgan Avenue,,,,,,,,,,,,,,,,,,,,,,
,McKee Hall,450 Lee Blvd,,,,,,,,,,,,,,,,,,,,,,
,Moseley Hall,55 Magruder Street,,,,,,,,,,,,,,,,,,,,,,
,Nunnelee Hall,215 Hurst Lane,,,,,,,,,,,,,,,,,,,,,,
,Oak Hall,205 Magruder Street,,,,,,,,,,,,,,,,,,,,,,
,Rice Hall,180 Magruder St,,,,,,,,,,,,,,,,,,,,,,
,Ruby Hall,75 Hurst Lane,,,,,,,,,,,,,,,,,,,,,,
,Sessums Hall,459 Lee Blvd.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
