Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
CALS Pesticide Storage UFL 810-Aurora,849J,PST,Outlying,Aurora,,,,,64,1997,20,1,1,20888,,,1,1,0,59,15000,1,14,2002 Hickory Point Rd.
CALS Phys Lab/Office UFL 276-Lake Wheeler,812Q,X66,Lake Wheeler Site,Raleigh,812q.pdf,,,,4463,1980,37,1,1,1137927,4200,95,1,6,4222,4222,62062,1,14,4609 Broiler Rd.
CALS Pine Vole Lab- Fletcher,850L,Z12,Outlying,Fletcher,,,,,1600,1978,39,1,1,774127,,,1,1,1350,1350,36600,1,14,2000 Fanning Bridge Rd.
CALS- Plants For Human Health Institute - Kannapolis,999E,DNI,Outlying,Kannapolis,999e.pdf,,,,102348,2009,8,1,5,49518906,,,1,6,62901,64072,,5,14,600 Laureate Way
CALS Poultry Bldg UFL 239-Lake Wheeler,811M,X38,Lake Wheeler Site,Raleigh,,,,,3456,1966,51,1,1,355323,16166,95,1,1,3175,3175,18000,1,14,4526 Broiler Rd.
CALS Poultry Bldg UFL 240-Lake Wheeler,811N,X39,Lake Wheeler Site,Raleigh,,,,,5904,1966,51,1,1,399185,14864,95,1,1,5480,5480,18000,1,14,4525 Broiler Rd.
CALS Poultry Bldg UFL 242-Lake Wheeler,811Q,X41,Lake Wheeler Site,Raleigh,,,,,5460,1968,49,1,1,369518,,,2,1,5195,5195,24000,1,14,4621 Broiler Rd.
CALS Poultry Bldg UFL 243-Lake Wheeler,811R,X42,Lake Wheeler Site,Raleigh,,,,,5460,1968,49,1,1,369518,,,2,1,1030,1030,24000,1,14,4517 Poultry Rd.
CALS Poultry Bldg UFL 244-Lake Wheeler,811S,X43,Lake Wheeler Site,Raleigh,,,,,5460,1968,49,1,1,369518,,,2,1,5195,5195,24000,1,14,4625 Broiler Rd.
CALS Poultry Bldg UFL 246-Lake Wheeler,811U,X45,Lake Wheeler Site,Raleigh,,,,,2924,1968,49,1,1,255402,,,2,1,2900,2900,20800,1,14,4506 Poultry Rd.
CALS Poultry Bldg UFL 247-Lake Wheeler,811V,X46,Lake Wheeler Site,Raleigh,,,,,5460,1968,49,1,1,431552,,,2,1,5410,5410,15600,1,14,4514 Poultry Rd.
CALS Poultry Bldg UFL 248-Lake Wheeler,811W,X47,Lake Wheeler Site,Raleigh,,,,,3785,1968,49,1,1,256231,,,2,1,3456,3456,20300,1,14,4504 Broiler Rd.
CALS Poultry Bldg UFL 249-Lake Wheeler,811X,X48,Lake Wheeler Site,Raleigh,,,,,3785,1968,49,1,1,256231,14962,95,1,1,3456,3456,15600,1,14,4505 Broiler Rd.
CALS Poultry Compost (277) -Lake Wheeler,809G,TCG,Lake Wheeler Site,Raleigh,,,,,2663,1998,19,1,1,273793,,,1,1,0,2536,58000,1,14,4500 Poultry Rd.
CALS Poultry Compost Unit Bldg #281-Lake Wheeler,814T,PCU,Lake Wheeler Site,Raleigh,,,,,288,1996,21,1,1,29610,,,1,1,0,274,1600,1,14,4108 Lake Wheeler Rd.
CALS Poultry Holding Bldg - Lake Wheeler,815Q,PLH,South,Raleigh,815q.pdf,,,,5132,2006,11,1,1,668563,,,1,6,4764,4764,506160,1,14,3901 Coefficient Rd.
CALS Poultry House UFL 238-Lake Wheeler,811L,X37,Lake Wheeler Site,Raleigh,,,,,2880,1966,51,1,1,194198,,,2,1,0,2808,16000,1,14,4534 Broiler Rd.
CALS Poultry Teaching Bldg - Lake Wheeler,815P,PTB,Lake Wheeler Site,Raleigh,815p.pdf,,,,5302,2006,11,1,1,931676,,,1,6,2785,2797,705360,1,14,3841 Inwood Rd.
CALS Poultry/Insect Lab UFL 268-Lake Wheeler,812G,X58,Lake Wheeler Site,Raleigh,812g.pdf,,,,827,1977,40,1,1,112125,6480,80,1,1,746,746,26500,1,14,4462 Poultry Rd.
CALS Propagation House #15 - Castle Hayne,880Q,PH7,Outlying,Castle Hayne,,,,,630,1979,38,1,1,38102,,,3,1,0,600,700,1,14,3800 Castle Hayne Rd.
CALS Pullet House -Lake Wheeler,825A,PH6,Lake Wheeler Site,Raleigh,825a.pdf,,,,7200,2004,13,1,1,827347,,,1,6,0,6921,142000,1,14,4533 Broiler Rd.
CALS Pump House & Storage - Lake Wheeler,815U,PH8,Lake Wheeler Site,Raleigh,815u.pdf,,,,807,2001,16,1,1,68329,,,1,1,0,770,8000,1,14,3901 Inwood Rd.
CALS Pumphouse - Castle Hayne,880G,PCH,Outlying,Castle Hayne,880g.pdf,,,,,,,,,,,,,,,,,,,6028 Holly Shelter Rd.
CALS Quonset Hut - Castle Hayne,880L,QUH,Outlying,Castle Hayne,,,,,4132,1998,19,1,1,424826,,,1,1,0,3718,100000,1,14,6028 Holly Shelter Rd.
CALS Ram Shed UFL 129-Reedy Creek,820W,Y40,Reedy Creek,Raleigh,,,,,426,1968,49,1,1,25765,,,2,1,0,405,2688,1,14,2100 Trenton Rd.
CALS Record Storage,163E,CRS,West,Raleigh,,-,,,782,1993,24,1,3,92759,,,1,6,0,715,30000,1,14,3231 Ligon St.
CALS Recreation UFL 284-Lake Wheeler,812W,X72,Lake Wheeler Site,Raleigh,,,,,852,1978,39,1,1,87597,,,1,1,726,726,1200,1,14,4517 Broiler Rd.
CALS Research Stor Shed UFL 113G-Reedy Creek,820M,Y31,Reedy Creek,Raleigh,,,,,530,1966,51,1,1,34523,,,2,1,504,504,6964,1,14,4905 Reedy Creek Rd.
CALS Research Stor UI 114G-Reedy Creek,820N,Y32,Reedy Creek,Raleigh,,,,,960,1970,47,1,1,58059,,,2,1,0,654,8356,1,14,4905 Reedy Creek Rd.
CALS Rumen Physiology UFL 183-Reedy Creek,822B,Y71,Reedy Creek,Raleigh,,,,,4800,1981,36,1,1,2322378,,,1,1,4439,4439,40650,1,14,2001 Trenton Rd.
CALS Seed Processing & Storage #5- Clayton,805D,J05,Outlying,Raleigh,,,,,1056,1955,62,1,1,89411,,,1,1,0,897,37500,1,14,13223 US 70 West
CALS SEU Gen Shed (UFL 2127) -Lake Wheeler,809E,TCE,Lake Wheeler Site,Raleigh,,,,,151,1998,19,1,1,9132,,,1,1,0,144,2500,1,14,3906 Coefficient Rd.
CALS SEU Tank Shed (UFL 2128) -Lake Wheeler,809F,TCF,Lake Wheeler Site,Raleigh,,,,,63,1998,19,1,1,3810,,,1,1,0,60,1000,1,14,3904 Coefficient Rd.
CALS Shed/Experimental Curing Unit- Clayton,807B,B15,Outlying,Clayton,,,,,1071,1975,42,1,1,64772,,,3,1,0,1017,7000,1,14,13223 US 70 West
CALS Sheep Barn UFL 190-Reedy Creek,822G,Y76,Reedy Creek,Raleigh,822g.pdf,,,,10138,1986,31,3,1,1074300,6620,89,1,2,8076,9847,196406,1,14,2200 Trenton Rd.
CALS Sheep Nutrition UFL 122-Reedy Creek,820S,Y36,Reedy Creek,Raleigh,,,,,3264,1936,81,1,1,335583,,,2,1,3114,3114,6200,1,14,2150 Trenton Rd.
CALS Sheep Pens/Hay Stor UFL 128-Reedy Creek,820V,Y39,Reedy Creek,Raleigh,,,,,3162,1939,78,1,1,325096,,,2,1,0,3044,1500,1,14,2150 Trenton Rd.
CALS Sheep Shed UFL 168-Reedy Creek,821X,Y66,Reedy Creek,Raleigh,,,,,344,1982,35,1,1,20805,,,1,1,0,327,1344,1,14,2001 Trenton Rd.
CALS Sheep Shed UFL 169-Reedy Creek,821Y,Y67,Reedy Creek,Raleigh,,,,,1080,1982,35,1,1,65317,1943,94,1,1,0,1028,4320,1,14,2001 Trenton Rd.
CALS Shepherds Stor UFL 110-Reedy Creek,820K,Y29,Reedy Creek,Raleigh,,,,,198,1994,23,1,1,20357,,,1,1,192,192,6000,1,14,2200 Trenton Rd.
CALS Shop #20- Clayton,805Q,J16,Outlying,Clayton,,,,,5480,1955,62,1,1,994268,,,1,1,3353,5225,110000,1,14,13223 US 70 West
CALS Shop (Metal) - Fletcher,850Q,Z17,Outlying,Fletcher,,,,,4038,1987,30,1,1,732637,,,1,1,2894,3154,140000,1,14,2000 Fanning Bridge Rd.
CALS Shop Operations Bldg UFL 100-Lake Wheeler,810X,W04,Lake Wheeler Site,Raleigh,810x.pdf,,,,5000,2005,12,1,1,755983,,,1,6,4523,4523,331642,1,14,3941 Dr. Bill Gilbert Way
CALS Shop Shed UFL 177-Reedy Creek,465I,RCI,Reedy Creek,Raleigh,465i.pdf,,,,3024,1966,51,1,1,182888,,,2,1,0,820,2667,1,14,4116 Reedy Creek Rd.
CALS Shop/Equip/Stor UFL 260-Lake Wheeler,811Z,X50,Lake Wheeler Site,Raleigh,,,,,2880,1975,42,1,1,296103,,,2,1,2739,2739,12460,1,14,4513 Broiler Rd.
CALS Shop/Office UFL 144-Reedy Creek,821H,Y52,Reedy Creek,Raleigh,,,,,3898,1980,37,1,1,707237,,,1,2,2150,3571,53452,1,14,4616 Reedy Creek Rd.
CALS Small Ruminant Bldg UFL 180-Reedy Creek,821Z,Y68,Reedy Creek,Raleigh,,,,,6300,1984,33,1,1,647726,,,2,3,5322,5322,192950,1,14,2001 Trenton Rd.
CALS Soil Science Storage - Lake Wheeler,809P,SLW,Lake Wheeler Site,Raleigh,809p.pdf,,,,288,2007,10,1,1,131189,,,1,1,0,264,103037,1,14,3210 Ordinal Rd.
CALS Solar Curing/Ghse #42- Clayton,806K,J37,Outlying,Clayton,,,,,1106,1975,42,1,1,113712,,,3,1,624,624,22500,1,14,13223 US 70 West
CALS Sow Confinement/Breed UFL 160-Reedy Creek,821S,Y61,Reedy Creek,Raleigh,,,,,3640,1968,49,1,1,220142,54600,91,1,1,0,3615,27500,1,14,5900 Trinity Rd.
CALS SPECIALTY CROPS,856B,,,,,,,,1120,1989,28,1,1,316860,,,2,6,0,848,140000,1,14,
CALS Station Office - Fletcher,850,Z01,Outlying,Fletcher,,,,,5926,1960,57,1,1,953333,,,1,6,3971,3971,36000,1,14,74 Research Dr.
CALS Storage Barn - Lake Wheeler,809M,SB1,Lake Wheeler Site,Raleigh,809m.pdf,,,,297,2007,10,1,1,98392,,,1,1,0,273,77278,1,14,3900 Analysis Way
CALS Storage Barn & Shelter #23- Clayton,807E,E22,Outlying,Clayton,,,,,2430,1962,55,1,1,249836,,,3,1,0,2309,3100,1,14,13223 US 70 West
CALS Storage Barn/Shed #24- Clayton,805T,J19,Outlying,Clayton,,,,,2392,1961,56,1,1,245930,,,1,1,544,544,23700,1,14,13223 US 70 West
CALS Storage Bldg # 38- Clayton,806F,J33,Outlying,Clayton,,,,,2760,1972,45,1,1,283764,,,1,1,1798,1798,40000,1,14,13223 US 70 West
CALS Storage Bldg #10-Clayton,805J,J10,Outlying,Clayton,,,,,1056,1956,61,1,1,108571,,,1,1,0,923,4224,1,14,13223 US 70 West
CALS Storage Bldg #11- Clayton,805K,J11,Outlying,Clayton,,,,,1056,1956,61,1,1,108571,,,1,1,0,923,4224,1,14,13223 US 70 West
CALS Storage Bldg #12- Clayton,805L,J12,Outlying,Clayton,,,,,1056,1956,61,1,1,108571,,,1,1,0,923,4224,1,14,13223 US 70 West
CALS Storage Bldg #6- Clayton,805E,J06,Outlying,Clayton,,,,,952,1955,62,1,1,97878,,,1,1,0,794,37500,1,14,13223 US 70 West
CALS Storage Bldg #8- Clayton,805G,J08,Outlying,Clayton,,,,,1056,1955,62,1,1,108571,,,1,1,0,911,4224,1,14,13223 US 70 West
CALS Storage Bldg (Dirt Shelter)- Fletcher,850Y,Z15,Outlying,Fletcher,,,,,3936,1960,57,1,1,404674,,,2,1,0,3739,27552,1,14,2000 Fanning Bridge Rd.
CALS Storage Bldg (Near D-40) #62- Clayton,807R,R62,Outlying,Clayton,,,,,288,1996,21,1,1,29610,,,1,1,0,274,5760,1,14,13223 US 70 West
CALS Storage Bldg UFL 1018- Bahama,845Q,Q16,Outlying,Bahama,,,,,480,1988,29,1,1,49349,,,1,1,0,456,4800,1,14,8800 Cassam Rd.
CALS Storage Bldg UFL 173-Reedy Creek,465E,RCE,Reedy Creek,Raleigh,465e.pdf,,,,4053,1977,40,1,8,416704,,,1,1,3866,3866,,1,14,4116 Reedy Creek Rd.
CALS Storage Bldg UFL 209-Lake Wheeler,810L,X12,Lake Wheeler Site,Raleigh,,,,,100,1981,36,1,1,10282,,,1,1,96,96,353,1,14,3971 Dr. Bill Gilbert Way
CALS Storage House UFL Fb826-Lake Wheeler,830B,ZZ2,Lake Wheeler Site,Raleigh,,,,,256,1924,93,1,1,26320,,,2,1,0,198,2500,1,14,1015 Mid Pines Rd.
CALS Storage House UFL Fb837-Lake Wheeler,830F,ZZ6,Lake Wheeler Site,Raleigh,,,,,513,1924,93,1,1,52744,,,2,1,0,428,960,1,14,1015 Mid Pines Rd.
CALS Storage Oil/Grs UFL 201-Lake Wheeler,810E,X06,Lake Wheeler Site,Raleigh,,,,,144,1980,37,1,1,14805,,,1,1,0,137,1440,1,14,3933 Dr. Bill Gilbert Way
CALS Storage Shed # 59- Clayton,806S,J44,Outlying,Clayton,,,,,192,1988,29,1,1,11611,,,1,1,0,182,2000,1,14,13223 US 70 West
CALS Storage Shed #58- Clayton,806R,J43,Outlying,Clayton,,,,,384,1988,29,1,1,23224,,,1,1,0,288,2000,1,14,13223 US 70 West
CALS Storage Shed UFL 120G-Reedy Creek,820E,Y24,Reedy Creek,Raleigh,,,,,534,1966,51,1,1,32295,,,2,1,0,380,2716,1,14,4905 Reedy Creek Rd.
CALS Storage Shed UFL 218-Lake Wheeler,810V,X21,Lake Wheeler Site,Raleigh,,,,,416,1969,48,1,1,25158,,,2,1,222,307,1000,1,14,3232 Lake Wheeler Rd.
CALS Storage UFL 120-Reedy Creek,820Q,Y34,Reedy Creek,Raleigh,,,,,290,1982,35,1,1,29816,,,1,1,0,276,1440,1,14,4905 Reedy Creek Rd.
CALS Storage UFL 269-Lake Wheeler,812H,X59,Lake Wheeler Site,Raleigh,,,,,800,1973,44,1,1,82251,,,5,1,760,760,4000,1,14,3901 Inwood Rd.
CALS Storage/Shavings Bin UFL 279-Lake Wheeler,812T,X69,Lake Wheeler Site,Raleigh,,,,,2198,1984,33,1,1,225985,,,1,1,2114,2114,22110,1,14,4306 Poultry Rd.
CALS Storage-Peu UFL 266-Lake Wheeler,812E,X56,Lake Wheeler Site,Raleigh,,,,,324,1977,40,1,1,48738,,,2,1,0,308,16800,1,14,4454 Poultry Rd.
CALS Structural Pest Training Facility -Lake Wheeler,809T,SPT,Lake Wheeler Site,Raleigh,809t.pdf,,,,2400,2006,11,1,1,151197,,,1,1,0,2396,100000,1,14,3996 Chi Rd.
CALS Swine Barn/Stor UFL 219-Lake Wheeler,810W,X22,Lake Wheeler Site,Raleigh,,,,,3145,1967,50,1,1,323348,7500,90,1,1,2968,2968,32000,1,14,3900 Parametric Rd.
CALS Swine Bldg-Lake Wheeler,815R,SNB,Lake Wheeler Site,Raleigh,815r.pdf,,,,25768,2006,11,1,1,3367079,,,1,6,0,21665,2783690,2,14,3905 Coefficient Rd.
CALS Swine Evaluation #31 & #32- Clayton,806,J26,Outlying,Clayton,,,,,8688,1962,55,1,1,893245,,,2,2,321,6694,171773,1,14,13223 US 70 West
CALS Swine Farrow Nursery UFL 158-Reedy Creek,821R,Y60,Reedy Creek,Raleigh,,,,,3900,1968,49,1,1,198128,27300,91,1,1,0,3072,43100,1,14,5900 Trinity Rd.
CALS Swine Nursery UFL 2109-Lake Wheeler,813Q,X91,Lake Wheeler Site,Raleigh,,,,,5059,1987,30,1,1,413862,,,1,2,4722,4722,221760,1,14,3703 Interval Rd.
CALS Swine Storage Bldg- Clayton,806Y,SSB,Outlying,Clayton,806y.pdf,,,,275,1996,21,1,1,27966,,,1,1,0,264,2773,1,14,13223 US 70 West
CALS TC Shed 2 (UFL 2121)-Lake Wheeler,809A,TCA,Lake Wheeler Site,Raleigh,,,,,315,1998,19,1,1,19050,,,1,1,0,300,4500,1,14,4044 Chi Rd.
CALS TC Shed 3 UFL 2122 - Lake Wheeler,809B,TCB,Lake Wheeler Site,Raleigh,,,,,315,1998,19,1,1,19050,,,1,1,0,300,4500,1,14,4036 Chi Rd.
CALS TC Shed 4 (UFL 2123) -Lake Wheeler,809C,TCC,Lake Wheeler Site,Raleigh,,,,,315,1998,19,1,1,19050,,,1,1,0,300,4500,1,14,4020 Chi Rd.
CALS TC Shed 5 (UFL 2124) - Lake Wheeler,809D,TCD,Lake Wheeler Site,Raleigh,,,,,315,1998,19,1,1,19050,,,1,1,0,300,4500,1,14,4012 Chi Rd.
CALS Teach Arena-Seu UFL 2114-Lake Wheeler,813V,X96,Lake Wheeler Site,Raleigh,,,,,3850,1989,28,1,1,368999,,,1,3,3012,3012,154000,1,14,3924 Coefficient Rd.
CALS Tobacco Barn #23- Clayton,805S,J18,Outlying,Clayton,,,,,1404,1956,61,1,1,144350,,,1,1,0,1080,15000,1,14,13223 US 70 West
CALS Tobacco Barn #25- Clayton,805U,J20,Outlying,Clayton,,,,,966,1959,58,1,1,99317,,,2,1,0,423,13500,1,14,13223 US 70 West
CALS Tobacco Barn Shed # 52- Clayton,807N,N52,Outlying,Clayton,,,,,1024,1985,32,1,1,105281,,,2,1,0,973,12300,1,14,13223 US 70 West
CALS Tobacco Barn Shed #51- Clayton,807M,M51,Outlying,Clayton,,,,,784,1985,32,1,1,80606,,,4,1,0,745,9400,1,14,13223 US 70 West
CALS Tobacco Bulk Barn # 27- Clayton,805W,J22,Outlying,Clayton,,,,,359,1973,44,1,1,36909,,,1,1,0,350,15000,1,14,13223 US 70 West
CALS Tobacco Bulk Barn #16- Clayton,805N,J14,Outlying,Clayton,,,,,366,1972,45,1,1,37629,,,1,1,0,352,15000,1,14,13223 US 70 West
CALS Tobacco Bulk Barn #26- Clayton,805V,J21,Outlying,Clayton,,,,,359,1971,46,1,1,36909,,,1,1,0,300,15000,1,14,13223 US 70 West
CALS Tobacco Bulk Barn UFL 186-Reedy Creek,822E,Y74,Reedy Creek,Raleigh,,,,,469,1987,30,1,1,34037,,,1,1,0,462,14667,1,14,4616 Reedy Creek Rd.
CALS Tobacco Curing Unit #6- Reidsville,861C,C05,Outlying,Reidsville,,,,,1022,1962,55,1,1,61809,,,3,1,0,971,5000,1,14,1944 Wentworth Rd.
CALS Tom Facility UFL 272-Lake Wheeler,812L,X62,Lake Wheeler Site,Raleigh,,,,,2594,1981,36,1,1,266698,2200,91,1,1,2463,2463,7100,1,14,4301 Poultry Rd.
CALS Tool Room UFL 212-Lake Wheeler,810P,X15,Lake Wheeler Site,Raleigh,,,,,169,1970,47,1,1,17376,,,2,1,0,165,400,1,14,3927 Dr. Bill Gilbert Way
CALS TREATMNT/DIAGNO,849B,,,,,,,,1354,1950,67,1,1,139208,,,2,1,0,1006,6770,1,14,
CALS Turkey Bldg UFL 273-Lake Wheeler,812M,X63,Lake Wheeler Site,Raleigh,,,,,7632,1983,34,1,1,784674,,,1,1,7368,7368,114000,1,14,4302 Poultry Rd.
CALS Turkey Bldg UFL 274-Lake Wheeler,812N,X64,Lake Wheeler Site,Raleigh,,,,,7632,1983,34,1,1,784674,,,1,1,7368,7368,114000,1,14,4304 Poultry Rd.
CALS Turkey Breeder UFL 287-Lake Wheeler,812Z,X75,Lake Wheeler Site,Raleigh,,,,,10944,1985,32,1,1,1125192,,,1,1,10430,10430,109000,1,14,4315 Poultry Rd.
CALS Turkey Gen Shed UFL 280-Lake Wheeler,813J,X85,Lake Wheeler Site,Raleigh,,,,,192,1995,22,1,1,59100,,,1,1,168,168,40300,1,14,4303 Poultry Rd.
CALS Turkey House UFL 270-Lake Wheeler,812J,X60,Lake Wheeler Site,Raleigh,,,,,8020,1978,39,1,1,539439,7963,93,1,1,7556,7556,52000,1,14,4300 Poultry Rd.
CALS Turkey Lab UFL 271-Lake Wheeler,812K,X61,Lake Wheeler Site,Raleigh,,,,,1218,1978,39,1,1,110496,,,1,1,0,977,36000,1,14,4305 Poultry Rd.
CALS Turkey Male Breeder UFL 286-Lake Wheeler,812Y,X74,Lake Wheeler Site,Raleigh,,,,,4000,1985,32,1,1,411254,,,1,1,3761,3761,62000,1,14,4309 Poultry Rd.
CALS Turkey Physiology UFL 285-Lake Wheeler,812X,X73,Lake Wheeler Site,Raleigh,,,,,4000,1985,32,1,1,272416,,,1,1,800,3136,96500,1,14,4307 Poultry Rd.
CALS UFL House - Lake Wheeler,825B,UF1,Lake Wheeler Site,Raleigh,825b.pdf,,,,1733,1999,18,1,1,151197,,,2,6,939,939,60000,1,14,4201 Inwood Rd.
CALS Utility Bldg UFL 141Gub- Reedy Creek,821F,Y50,Reedy Creek,Raleigh,,,,,480,1982,35,1,1,49349,,,1,1,0,474,2900,1,14,4905 Reedy Creek Rd.
CALS Utility Bldg UFL 213-Lake Wheeler,810Q,X16,Lake Wheeler Site,Raleigh,,,,,96,1989,28,1,1,9869,,,1,1,0,93,1440,1,14,3031 Lake Wheeler Rd.
CALS Utility Bldg UFL 250-Lake Wheeler,811Y,X49,Lake Wheeler Site,Raleigh,,,,,96,1989,28,1,1,9869,,,1,1,0,93,1440,1,14,4108 Lake Wheeler Rd.
CALS Utility Bldg UFL F935-Lake Wheeler,830H,ZZ8,Lake Wheeler Site,Raleigh,,,,,120,1989,28,1,1,12338,,,1,1,0,117,960,1,14,1015 Mid Pines Rd.
CALS Vermiculture Teaching Facility -Lake Wheeler,809X,VTF,Lake Wheeler Site,Raleigh,809x.pdf,,,,1200,1999,18,1,1,90717,,,2,1,0,1197,48000,1,14,4005 Chi Rd.
CALS Warehouse Morehead City CMAST,874B,WMC,Outlying,Morehead,874b.pdf,,,,5159,2000,17,1,1,514068,,,1,1,0,4929,307000,1,14,111 N. Lockhart St.
CALS Waste Management Facility - Lake Wheeler,815,WTC,Lake Wheeler Site,Raleigh,815.pdf,,,,8543,1996,21,1,1,1188338,,,1,6,1192,6549,502377,1,14,4051 Chi Rd.
CALS Weigh Shed UFL 1043- Bahama,846E,Q31,Outlying,Bahama,,,,,1281,1988,29,1,1,316825,,,1,1,0,1217,24000,1,14,8800 Cassam Rd.
CALS Well House #13- Clayton,805M,J13,Outlying,Clayton,,,,,64,1956,61,1,1,5418,,,1,1,0,0,900,1,14,13223 US 70 West
CALS Well House #32A- Clayton,806A,J27,Outlying,Clayton,,,,,98,1966,51,1,1,8298,,,1,1,0,0,750,1,14,13223 US 70 West
CALS Well House #34- Clayton,806B,J29,Outlying,Clayton,,,,,112,1961,56,1,1,9484,,,1,1,0,0,900,1,14,13223 US 70 West
CALS Well House #36- Clayton,806D,J31,Outlying,Clayton,,,,,64,1955,62,1,1,5418,,,1,1,0,46,900,1,14,13223 US 70 West
CALS Well House #41- Clayton,806J,J36,Outlying,Clayton,,,,,305,1968,49,1,1,25825,,,2,1,114,114,1000,1,14,13223 US 70 West
CALS Well House #7- Clayton,805F,J07,Outlying,Clayton,,,,,64,1954,63,1,1,5418,,,1,1,0,0,900,1,14,13223 US 70 West
CALS Well Pump House - Lake Wheeler,809K,WP1,Lake Wheeler Site,Raleigh,809k.pdf,,,,100,2007,10,1,1,81028,,,1,1,0,93,63641,1,14,3900 Analysis Way
CALS Well Pumphouse UFL 237-Lake Wheeler,811K,X36,Lake Wheeler Site,Raleigh,,,,,134,1966,51,1,1,11345,,,2,1,126,126,450,1,14,4108 Lake Wheeler Rd.
CALS Wellhouse #1A- Clayton,805A,J02,Outlying,Clayton,,,,,64,1954,63,1,1,5418,,,1,1,0,0,900,1,14,13223 US 70 West
CALS Wood Working Shop #9- Clayton,805H,J09,Outlying,Clayton,,,,,952,1955,62,1,1,97878,,,1,1,0,864,37500,1,14,13223 US 70 West
CALS Work Area-Seu UFL 2113,813U,X95,Lake Wheeler Site,Raleigh,,,,,550,1989,28,1,1,33264,,,1,1,522,522,11000,1,14,3910 Coefficient Rd.
CALS Work/Storage UFL 2116-Lake Wheeler,813X,X98,Lake Wheeler Site,Raleigh,,,,,1221,1989,28,1,1,125535,,,1,1,1114,1114,24420,1,14,3914 Coefficient Rd.
CALS Workshop UFL 806-Aurora,849E,Q75,Outlying,Aurora,,,,,1845,1950,67,1,1,334748,4000,88,1,3,0,1370,9225,1,14,2002 Hickory Point Rd.
CALS Yates Herpetology (UFL 252)-Lake Wheeler,809,YHP,Lake Wheeler Site,Raleigh,,,,,1640,1999,18,1,1,99185,,,1,1,0,1558,14000,1,14,3720 Lake Wheeler Rd.
CALS Yates Mill Cabin #203-Lake Wheeler,814S,YMC,Lake Wheeler Site,Raleigh,,,,,336,1784,233,1,1,73155,,,4,1,0,319,1000,1,14,4700 Lake Wheeler Rd.
CALS Yates Mill UFL 236-Lake Wheeler,811J,X35,Lake Wheeler Site,Raleigh,,,,,4157,1820,197,1,1,698919,284729,99,2,1,0,4100,1676,1,14,4700 Lake Wheeler Rd.
CALS Zoology/Fish Research UFL 101G-Reedy Creek,820D,Y23,Reedy Creek,Raleigh,,,,,8272,1965,52,1,1,850473,18000,93,1,1,7752,7752,57029,1,14,4905 Reedy Creek Rd.
CALS/CNR Extension Center- Fletcher,850S,Z19,Outlying,Fletcher,850s.pdf,,,,23893,1987,30,1,1,3728497,,,1,6,13835,13835,1918000,1,14,2000 Fanning Bridge Rd.
Calving Shed - CVM,318,CSV,West,Raleigh,318.pdf,,,,,,,,,,,,,,,,,,,Terry Curtin Dr.
Camp Cabin #10 Millstone 4-H Camp,865K,M10,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #11 Millstone 4-H Camp,865M,M34,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #12 Millstone 4-H Camp,865N,M12,Outlying,Ellerbe,865n.pdf,,,,663,1938,79,1,5,92224,,,3,1,601,601,,1,14,1040 Mallard Dr.
Camp Cabin #13 Millstone 4-H Camp,865P,M36,Outlying,Ellerbe,,,,,392,1938,79,1,1,54528,,,3,1,0,372,652,1,14,1040 Mallard Dr.
Camp Cabin #14 Millstone 4-H Camp,865Q,M37,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #1-Millstone 4-H Camp,865A,MC1,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #2 Millstone 4-H Camp,865B,MC2,Outlying,Ellerbe,,,,,392,1938,79,1,5,46838,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #3 Millstone 4-H Camp,865C,MC3,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #4 Millstone 4-H Camp,865D,MC4,Outlying,Ellerbe,865d.pdf,,,,663,1938,79,1,5,92224,,,3,1,601,601,,1,14,1040 Mallard Dr.
Camp Cabin #5 Millstone 4-H Camp,865E,MC5,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #6 Millstone 4-H Camp,865F,MC6,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #7 Millstone 4-H Camp,865G,MC7,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,0,372,,1,14,1040 Mallard Dr.
Camp Cabin #8 Millstone 4-H Camp,865H,MC8,Outlying,Ellerbe,,,,,392,1938,79,1,5,54528,,,3,1,372,372,,1,14,1040 Mallard Dr.
