Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
Animal Husbandry Shed,345,AHB,West,Raleigh,345.pdf,,,,,,,,,,,,,,,,,,,4528 Terry Curtin Dr.
Applied Ecology - Puerto Rico Housing,971C,ZR3,Outlying,Cabo Rojo,971c.pdf,,,,,,,,,,,,,,,,,,,Carr 303 KM 12.2
Applied Energy Lab 169E,,,,,,0.13,,,1823,,,,,,,,,,,,,,,
Applied Energy Research Lab I,169A,AE1,West,Raleigh,169a.pdf,0.32,,,2090,1986,31,1,1,187634,,,1,6,1684,1936,45625,2,14,3237 Ligon St.
Applied Energy Research Lab II,169B,AE2,West,Raleigh,169b.pdf,0.24,,,2077,1986,31,1,1,187634,,,1,6,1684,1936,45625,2,14,3239 Ligon St.
Aqua Demo Bldg UFL 640,640,ADB,South,Raleigh,640.pdf,0,,,2253,1990,27,1,1,1090066,,,1,1,2150,2150,25000,1,14,1310 Varsity Dr.
Aquatic Research Fish Lab,163D,AFL,West,Raleigh,163d.pdf,-,,,1128,1996,21,1,1,115974,,,1,6,0,1058,38000,1,14,3229 Ligon St.
Arboretum Restrooms,410,ARR,West,Raleigh,,0.02,,,169,1996,21,1,1,71269,,,1,1,0,0,50000,1,14,4301 Beryl Rd.
Arboretum-Support Office Bldg,446A,ASO,West,Raleigh,446a.pdf,0.02,,,2100,2002,15,1,1,390633,,,1,6,1661,1661,188450,1,14,3255 Beryl Rd.
Archery Shed - Swannanoa 4-H Camp,801S,SWS,Outlying,Swannanoa,,,,,64,1936,81,1,1,3870,,,3,1,0,61,2080,1,14,170 Woodland Dr.
Archery Shed At Betsy Jeff Penn 4-H Camp,816X,BJX,Outlying,Reidsville,,,,,64,1980,37,1,1,3870,,,3,1,0,60,1442,1,14,804 Cedar Lane
Archery Shed Millstone 4-H Camp,864V,MCV,Outlying,Ellerbe,,,,,64,1989,28,1,5,3870,,,2,1,0,61,,1,14,1040 Mallard Dr.
Archery Shelter/Storage Millstone 4-H Camp,865U,M41,Outlying,Ellerbe,,,,,480,1989,28,1,5,34835,,,2,1,0,432,,1,14,1040 Mallard Dr.
Arctic Hall-Wolf Village Apartments Bldg A,222A,WVA,Central,Raleigh,222a.pdf,,,,67661,2004,13,2,1,12185119,,,1,6,34885,40649,7076200,6,14,2770 Wolf Village Way
Assembly Building Millstone 4-H Camp,863A,ASM,Outlying,Ellerbe,,,,,1280,1996,21,1,5,178049,,,1,6,1080,1080,,1,14,1296 Mallard Dr.
Attendant Station At Bulk Debris Site - Leonard Building,163K,BD2,West,Raleigh,163k.pdf,,,,76,2011,6,1,1,23878,,,1,6,70,70,19000,1,14,Ligon St.
Attendant Station at Bult Debris Site,,,,,,-,,,76,,,,,,,,,,,,,,,
Aurora Hall - Avent Ferry Residence Hall A,271A,AFA,South,Raleigh,271a.pdf,,,,38314,1973,44,2,2,8352505,182516,97,1,6,24177,24177,775710,5,14,2110 Avent Ferry Rd.
Avent Ferry Technology Center,272,AFH,South,Raleigh,272.pdf,,,,61437,1979,38,1,2,19149913,370672,6,3,6,47886,47955,1382208,2,14,2114 Avent Ferry Rd.
Baffin Hall-Wolf Village Apartments Bldg B,222B,WVB,Central,Raleigh,222b.pdf,,,,67326,2004,13,2,1,12147399,,,1,6,36599,40360,7653840,6,14,2780 Wolf Village Way
Bagwell Residence Hall,109,BAG,Central,Raleigh,109.pdf,,,,45903,1938,79,2,1,7990159,3914300,5,1,6,30311,30311,150000,4,14,2201 Dunn Ave
BARN(UPIEDMONT),860V,,,,,,,,307,1920,97,1,1,31565,,,5,1,0,230,300,1,14,
Barn/Caretaker's Shop (Anita Alta 4-H Outpost Camp),827B,AAB,Outlying,Lenoir,,,,,1600,1980,37,1,1,164502,,,3,1,0,1520,20475,1,14,Anita Alta 4-H Outpost Camp
Barn/Storage/Entrance/Tool (Anita Alta 4-H Outpost Camp),827C,AAC,Outlying,Lenoir,,,,,256,1980,37,1,1,26320,,,3,1,0,243,4032,1,14,Anita Alta 4-H Outpost Camp
Bath House At Betsy Jeff Penn 4-H Camp,817B,BJ2,Outlying,Reidsville,817b.pdf,,,,1296,1996,21,1,1,189178,,,2,1,422,546,125000,1,14,804 Cedar Lane
Bayview Hall - Avent Ferry Residence Hall B,271B,AFB,South,Raleigh,271b.pdf,,,,26935,1973,44,2,2,5864367,871739,94,1,6,18741,18741,634660,3,14,2110 Avent Ferry Rd.
Becton Residence Hall,107,BEC,Central,Raleigh,107.pdf,,,,41911,1938,79,2,1,10787579,3134950,5,1,6,24255,24352,175000,4,14,2231 Dunn Ave.
Bee Research Lab-UFL D24,819C,BRL,Lake Wheeler Site,Raleigh,819c.pdf,,,,4234,1967,50,1,1,390386,,,4,6,0,3749,63560,2,14,4325 Inwood Rd.
Beef Feeding Complx(Upiedmont),860M,Z42,Outlying,Reidsville,,,,,2340,1968,49,1,1,240584,,,4,1,1800,1800,15400,1,14,1944 Wentworth Rd.
Berry Residence Hall,108,BER,Central,Raleigh,108.pdf,,,,17830,1938,79,2,1,4275768,1072500,5,1,6,9275,9275,85000,4,14,2211 Dunn Ave.
Biltmore Hall (And Robertson Wing),113,BI,Central,Raleigh,113.pdf,0.15,,,75161,1970,47,1,1,29804486,26320,98,3,6,43687,43687,1914000,5,14,2820 Faucette Dr.
BIOLOGICAL RESOURCES,72,BRC,North,Raleigh,72.pdf,0.1,,,21532,1996,21,1,1,8885309,,,1,6,10126,10546,4684100,4,14,2761 Pillsbury Cir.
Bobby G. Wilder Visitor Center,446B,AZH,West,Raleigh,446b.pdf,0.01,,,1510,2002,15,1,1,689718,,,1,6,533,533,408759,1,14,4421 Beryl Rd.
Booster Pump Station,170A,BPS,Central,Raleigh,170a.pdf,0,,,1168,2005,12,1,1,330213,,,1,6,0,0,250000,1,14,3051 Ligon St.
Bostian Hall,067A,BOS,North,Raleigh,67a.pdf,0.44,,,44042,1979,38,1,1,13758881,,,3,5,20330,20568,2800000,4,14,2721 Pillsbury Cir.
Bowen Residence Hall,95,BOW,Central,Raleigh,95.pdf,,,,54155,1968,49,2,2,9677088,431028,4,2,6,3668,33284,1125000,10,14,2821 Thurman Dr.
Boys Area Water Heater Bldg - Swannanoa 4-H Camp,801T,SWT,Outlying,Raleigh,,,,,49,1936,81,1,1,4149,,,3,1,0,42,2330,1,14,170 Woodland Dr.
Boys Area Water Heater Bldg - Swannanoa 4-H Camp,864P,MCP,Outlying,Ellerbe,,,,,560,1952,65,1,5,8958089,,,2,1,504,504,,1,14,1040 Mallard Dr.
Boys Bathhouse Site 1 (Anita Alta 4-H Outpost Camp),827F,AAF,Outlying,Lenoir,,,,,72,1980,37,1,1,14369,,,3,1,0,68,1588,1,14,Anita Alta 4-H Outpost Camp
Boys Toilet Bldg Site 2 (Anita Alta 4-H Outpost Camp),827U,AAU,Outlying,Lenoir,,,,,112,1980,37,1,1,22352,,,3,1,0,101,2470,1,14,Anita Alta 4-H Outpost Camp
Bragaw Residence Hall,88,BRA,Central,Raleigh,88.pdf,,,,161302,1958,59,2,2,31256652,2723400,95,3,6,28295,107082,1888000,5,14,210 Dan Allen Dr.
BRICK HOUSE 1RIGHT(L,855W,,,,,,,,1064,1939,78,2,1,171168,,,3,6,0,958,10000,1,14,
BRICK HOUSE 2 LEFT(L,855X,,,,,,,,1008,1939,78,2,1,162161,,,3,6,0,907,10000,1,14,
BRICK HOUSE 3 LEFT(L,855Y,,,,,,,,975,1939,78,2,1,156833,,,3,6,0,876,10000,1,14,
BRICK HOUSE 4RIGHT(L,855Z,,,,,,,,945,1939,78,2,1,152025,,,3,6,0,851,10000,1,14,
Brick Research Facility,162B,BRF,West,Raleigh,162b.pdf,-,,,688,1991,26,1,1,70324,,,1,1,0,635,29000,1,14,3223 Ligon St.
BRICK STORAGE BLDG(U,860Y,,,,,,,,48,1925,92,1,1,4935,,,5,1,0,36,300,1,14,
Brooks Hall,11,BS,North,Raleigh,11.pdf,0.24,,,77575,1925,92,1,1,30052900,313675,99,3,4,46813,47106,1100000,3,14,50 Pullen Dr.
Broughton Hall,51,BR,North,Raleigh,51.pdf,,,,100635,1943,74,1,1,48287561,117220,5,2,4,61403,66189,810000,5,14,2601 Katharine Stinson Dr.
BTEC - Golden Leaf Biomanufacturing Training And Education Center,762A,BTC,Centennial,Raleigh,762a.pdf,-,,,89308,2007,10,1,1,36650034,,,1,6,48386,54781,30300000,4,14,850 Oval Dr.
Bulk Tobacco Barn (Lowcoastal),855E,Q95,Outlying,Kinston,,,,,935,1965,52,1,1,96130,,,3,1,0,894,6700,1,14,200 Cunningham Rd.
Bureau of Mines,53,BM,North,Raleigh,53.pdf,0.36,,,16816,1945,72,1,1,6115502,35584,98,4,6,4445,11744,105000,4,14,2500 Yarbrough Dr.
Burley Barn Building #69,807W,J51,Outlying,Clayton,807w.pdf,,,,,,,,,,,,,,,,,,,13223 US 70 West
Burlington Laboratory,42,BU,North,Raleigh,42.pdf,0.19,,,71236,1953,64,1,1,30244620,124785,7,3,6,39633,40044,3397003,4,14,2500 Katharine Stinson Dr.
Butler Communications Bldg.,128,BUT,Central,Raleigh,128.pdf,0.12,,,34039,1998,19,1,1,12378646,,,2,6,19394,19394,4543492,2,14,3210 Faucette Dr.
C. Richard Vaughn Towers - Press Box,135C,CF2,West,Raleigh,135c.pdf,,,,,,,,,,,,,,,,,,,4600 Trinity Rd.
Cabin B1 - Swannanoa 4-H Camp,801J,SWJ,Outlying,Swannanoa,801j.pdf,,,,1532,1936,81,1,1,307607,,,3,1,1400,1400,37900,1,14,170 Woodland Dr.
Cabin B2 - Swannanoa 4-H Camp,801K,SWK,Outlying,Swannanoa,,,,,722,1936,81,1,1,144970,,,3,1,0,650,37900,1,14,170 Woodland Dr.
Cabin B3 - Swannanoa 4-H Camp,801M,SWM,Outlying,Swannanoa,,,,,722,1936,81,1,1,144970,,,3,1,0,650,37900,1,14,170 Woodland Dr.
Cabin B4 - Swannanoa 4-H Camp,801N,SWN,Outlying,Swannanoa,,,,,722,1936,81,1,1,144970,,,3,1,0,650,37900,1,14,170 Woodland Dr.
Cabin G1 - Swannanoa 4-H Camp,801E,SWE,Outlying,Swannanoa,801e.pdf,,,,1532,1936,81,1,1,307607,,,3,1,1400,1400,37900,1,14,170 Woodland Dr.
Cabin G2 - Swannonoa 4-H Camp,801F,SWF,Outlying,Swannanoa,,,,,722,1936,81,1,1,144970,,,3,1,0,650,37900,1,14,170 Woodland Dr.
Cabin G3 - Swannanoa 4-H Camp,801G,SWG,Outlying,Swannanoa,,,,,722,1936,81,1,1,144970,,,3,1,0,650,37900,1,14,170 Woodland Dr.
Cabin G4 - Swannanoa 4-H Camp,801H,SWH,Outlying,Swannanoa,,,,,722,1936,81,1,1,144970,,,3,1,0,650,37900,1,14,170 Woodland Dr.
Calan Barn (Upiedmont),861F,Z58,Outlying,Reidsville,861f.pdf,,,,,,,,,,,,,,,,,,,1944 Wentworth Rd.
Caldwell Hall,25,CAL,North,Raleigh,25.pdf,0.25,,,45457,1981,36,1,1,15773719,,,2,6,19106,19106,3400000,6,14,2221 Hillsborough St.
CALS - Vernon James Center - Plymouth,999C,VJC,Outlying,Plymouth,999c.pdf,,,,9360,1989,28,1,5,2727251,,,1,1,3845,4265,,1,14,207 Research Station Rd
CALS Admin Bldg UFL 804-Aurora,849C,Q73,Outlying,Aurora,,,,,830,1950,67,1,1,133525,33444,94,1,6,0,681,4150,1,14,2002 Hickory Point Rd.
CALS Ag Chemical Mixing Facility - Castle Hayne,880P,ACM,Outlying,Castle Hayne,880p.pdf,,,,,,,,,,,,,,,,,,,3800 Castle Hayne Rd.
CALS Animal Health Research Bldg - Lake Wheeler,815K,AHR,Lake Wheeler Site,Raleigh,815k.pdf,,,,1825,2005,12,1,1,214064,,,1,6,150,1407,147600,1,14,3900 Mid-Pines Rd.
CALS APWMC Composting UFL 224-Lake Wheeler,815A,ACU,Lake Wheeler Site,Raleigh,,,,,5920,1997,20,1,1,358034,,,1,2,0,5328,62000,1,14,4061 Chi Rd.
CALS Atmos Study Lab UFL 184-Reedy Creek,822C,Y72,Reedy Creek,Raleigh,,,,,977,1968,49,1,1,100449,,,2,1,295,585,16000,1,14,4950 Reedy Creek Rd.
CALS Auto Sow Bldg UFL 214-Lake Wheeler,810R,X17,Lake Wheeler Site,Raleigh,,,,,704,1981,36,1,1,51092,7070,94,1,1,0,591,22974,1,14,3956 Parametric Rd.
CALS -BAE Equipment Building - Lake Wheeler,809R,BAE,Lake Wheeler Site,Raleigh,809r.pdf,,,,224,2007,10,1,1,75157,,,1,1,0,204,59029,1,14,3961 Chi Rd.
CALS BEEF BARN FEED,820X,,,,,,,,16188,1935,82,1,1,1664347,,,2,1,3519,13866,17500,1,14,
CALS Beef Barn/Hay Storage UFL 145-Reedy Creek,821J,Y53,Reedy Creek,Raleigh,,,,,9118,1948,69,1,1,937455,,,2,1,0,6974,10500,1,14,4616 Reedy Creek Rd.
CALS Beef Education Unit - Lake Wheeler,815F,BEU,Lake Wheeler Site,Raleigh,815f.pdf,,,,27977,2002,15,1,1,2876314,,,1,3,17781,17781,1331963,1,14,4505 Mid Pines Rd.
CALS Blueberry Grading - Castle Hayne,880H,H05,Outlying,Castle Hayne,,,,,1728,1955,62,1,1,104507,,,5,1,0,1720,18700,1,14,Holly Shelter Rd.
CALS Boll Weevil Erad Off UFL 174-Reedy Creek,465D,RCD,Reedy Creek,Raleigh,465d.pdf,,,,3827,1977,40,1,8,393467,,,1,6,0,3648,,1,14,4116 Reedy Creek Rd.
